id,date,time,molten_volume,count,working,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,sleeve_temperature,physical_strength,Coolant_temperature,tryshot_signal,EMS_operation_time,mold_code,passorfail
80113,2019-03-17,20:46:08,-1,10,가동,731,122,155,110,112,331,51,178,111,186,190,336,697,28,A,23,8576,0
80115,2019-03-17,20:48:14,-1,11,가동,732,160,127,110,112,332,47,206,119,195,202,338,701,28,A,23,8576,0
80117,2019-03-17,20:50:21,-1,12,가동,733,120,121,110,111,331,47,219,124,203,207,323,703,28,A,23,8576,0
80119,2019-03-17,20:52:16,-1,13,가동,733,117,118,110,111,332,46,228,130,211,208,353,713,29,A,23,8576,0
80121,2019-03-17,20:54:17,-1,14,가동,733,117,117,109,111,331,45,235,132,217,214,360,695,29,A,23,8576,0
80123,2019-03-17,20:56:17,-1,15,가동,733,118,118,110,112,331,50,234,134,220,217,352,691,29,A,23,8576,0
80125,2019-03-17,20:58:11,-1,16,가동,733,118,119,110,111,332,51,235,135,223,223,351,699,29,A,23,8576,0
80127,2019-03-17,21:00:08,-1,17,가동,732,117,118,110,111,331,52,241,137,226,222,354,698,29,A,23,8576,0
80129,2019-03-17,21:02:07,-1,18,가동,731,117,118,110,111,331,52,241,138,228,226,353,684,29,A,23,8576,0
80131,2019-03-17,21:04:04,-1,19,가동,731,118,119,110,112,331,53,241,139,229,231,355,695,30,A,23,8576,0
80133,2019-03-17,21:06:16,-1,20,가동,731,129,130,109,111,332,51,224,135,226,232,351,691,30,A,23,8576,0
80135,2019-03-17,21:08:28,-1,21,가동,730,129,130,109,111,332,50,223,134,224,231,355,712,30,A,23,8576,0
80137,2019-03-17,21:10:38,-1,22,가동,729,125,124,110,112,332,51,226,135,227,232,348,722,30,A,23,8576,0
80139,2019-03-17,21:12:38,-1,23,가동,729,119,120,110,111,332,53,237,139,230,232,364,695,30,A,23,8576,0
80141,2019-03-17,21:14:25,-1,24,가동,728,118,118,110,111,331,49,242,141,233,235,363,701,30,A,23,8576,0
80143,2019-03-17,21:16:22,-1,25,가동,730,117,117,110,111,331,52,243,142,236,234,357,693,30,A,23,8576,0
80145,2019-03-17,21:18:23,-1,26,가동,732,118,119,110,112,331,51,243,143,236,233,361,703,30,A,23,8576,0
80147,2019-03-17,21:20:22,-1,27,가동,733,119,119,110,111,332,47,240,143,237,237,360,694,31,A,23,8576,0
80149,2019-03-17,21:22:32,-1,28,가동,733,131,131,110,111,332,50,217,138,233,233,352,694,31,A,23,8576,0
80151,2019-03-17,21:24:33,-1,29,가동,733,120,120,110,111,331,52,236,141,235,237,362,695,31,A,23,8576,0
80153,2019-03-17,21:26:36,-1,30,가동,733,124,124,110,111,332,49,235,140,235,240,366,706,31,A,23,8576,0
80155,2019-03-17,21:28:38,-1,31,가동,733,122,122,110,111,331,53,234,141,237,240,365,697,31,A,23,8576,0
80157,2019-03-17,21:30:39,-1,32,가동,733,121,121,110,111,332,52,239,143,240,243,362,691,31,A,23,8576,0
80159,2019-03-17,21:32:50,-1,33,가동,731,127,128,110,112,331,48,232,141,238,240,356,712,31,A,23,8576,0
80161,2019-03-17,21:34:55,-1,34,가동,730,124,125,110,112,332,52,225,142,237,236,357,701,31,A,23,8576,0
80163,2019-03-17,21:36:54,-1,35,가동,729,118,119,110,112,332,50,239,145,240,238,368,713,31,A,23,8576,0
80165,2019-03-17,21:38:50,-1,36,가동,730,118,119,110,112,332,50,239,146,242,239,356,700,31,A,23,8576,0
80167,2019-03-17,21:40:50,-1,37,가동,730,120,120,110,112,332,50,230,145,242,240,366,700,31,A,23,8576,0
80169,2019-03-17,21:43:09,-1,38,가동,732,124,124,110,111,331,48,229,143,241,242,367,705,31,A,23,8576,0
80171,2019-03-17,21:45:02,-1,39,가동,733,120,121,110,111,332,50,225,144,241,242,363,699,31,A,23,8576,0
80173,2019-03-17,21:47:01,-1,40,가동,734,121,123,109,112,332,48,216,144,242,245,366,697,31,A,23,8576,0
80175,2019-03-17,21:49:00,-1,41,가동,734,122,121,110,112,332,49,210,144,242,246,367,713,31,A,23,8576,0
80177,2019-03-17,21:51:11,-1,42,가동,733,128,129,110,113,332,50,224,142,240,244,359,701,31,A,23,8576,0
80179,2019-03-17,21:53:11,-1,43,가동,732,120,121,110,111,331,52,230,144,243,244,362,703,31,A,23,8576,0
80181,2019-03-17,21:55:12,-1,44,가동,732,117,120,110,111,331,49,241,146,244,242,345,715,31,A,23,8576,0
80184,2019-03-17,21:58:29,-1,45,가동,731,120,203,110,111,332,46,116,122,217,216,327,691,31,A,23,8576,0
80186,2019-03-17,22:00:24,-1,46,가동,731,203,118,110,111,332,49,162,138,229,222,345,688,31,A,23,8576,0
80188,2019-03-17,22:02:21,-1,47,가동,730,116,117,110,111,332,51,194,144,236,229,358,698,31,A,23,8576,0
80190,2019-03-17,22:04:19,-1,48,가동,730,117,117,110,111,332,50,237,146,241,234,363,719,31,A,23,8576,0
80192,2019-03-17,22:06:18,-1,49,가동,729,117,118,110,112,332,50,226,147,243,238,365,699,31,A,23,8576,0
80194,2019-03-17,22:08:18,-1,50,가동,729,121,121,110,112,331,50,238,147,244,239,365,718,31,A,23,8576,0
80195,2019-03-17,22:10:17,-1,51,가동,728,117,118,110,111,331,49,230,149,246,243,371,709,32,A,23,8576,0
80197,2019-03-17,22:12:16,-1,52,가동,729,119,120,110,111,332,51,236,149,246,243,359,708,32,A,23,8576,0
80199,2019-03-17,22:14:17,-1,53,가동,729,120,121,110,113,332,50,219,149,247,245,364,686,32,A,23,8576,0
80202,2019-03-17,22:19:08,-1,54,가동,731,120,121,110,112,332,49,111,122,219,253,343,700,32,A,23,8576,0
80204,2019-03-17,22:21:08,-1,55,가동,731,140,116,110,111,332,54,156,142,233,243,358,724,32,A,23,8576,0
80206,2019-03-17,22:23:02,-1,56,가동,731,116,118,110,111,332,53,160,147,239,245,365,704,32,A,23,8576,0
80208,2019-03-17,22:25:03,-1,57,가동,731,119,119,110,111,332,52,231,148,243,247,358,723,32,A,23,8576,0
80210,2019-03-17,22:27:01,-1,58,가동,731,118,119,110,112,332,49,204,149,241,249,359,725,32,A,23,8576,0
80211,2019-03-17,22:28:59,-1,59,가동,731,118,118,110,112,332,50,222,149,239,249,361,720,32,A,23,8576,0
80213,2019-03-17,22:30:58,-1,60,가동,731,118,118,110,111,332,52,242,150,238,250,360,725,32,A,23,8576,0
80215,2019-03-17,22:32:57,-1,61,가동,731,119,119,110,111,332,48,214,149,239,252,359,709,31,A,23,8576,0
80217,2019-03-17,22:34:57,-1,62,가동,730,120,120,110,112,332,51,238,149,240,250,370,727,31,A,23,8576,0
80218,2019-03-17,22:36:58,-1,63,가동,730,120,121,109,113,332,49,166,148,240,251,370,698,31,A,23,8576,0
80219,2019-03-17,22:39:13,-1,64,가동,729,121,135,109,112,332,48,212,143,235,247,369,714,31,A,23,8576,0
80220,2019-03-17,22:41:13,-1,65,가동,729,133,119,110,111,332,48,197,147,239,249,368,711,31,A,23,8576,0
