mold_code,chart_group,p,n,alpha_for_F,mean_vector,vars_used
8412,1) 용탕 준비 및 가열,2,16092,0.048,"{""molten_temp"": 723.7, ""molten_volume"": 9.2}","molten_temp, molten_volume"
8412,3) 사출 & 금형 충전,5,16092,0.048,"{""low_section_speed"": 112.6, ""high_section_speed"": 115.1, ""cast_pressure"": 326.3, ""biscuit_thickness"": 50.9, ""physical_strength"": 708.9}","low_section_speed, high_section_speed, cast_pressure, biscuit_thickness, physical_strength"
8412,4) 응고,5,16092,0.048,"{""upper_mold_temp1"": 196.2, ""upper_mold_temp2"": 148.8, ""lower_mold_temp1"": 147.3, ""lower_mold_temp2"": 194.0, ""Coolant_temperature"": 33.0}","upper_mold_temp1, upper_mold_temp2, lower_mold_temp1, lower_mold_temp2, Coolant_temperature"
8413,1) 용탕 준비 및 가열,2,60,0.048,"{""molten_temp"": 729.2, ""molten_volume"": 50.2}","molten_temp, molten_volume"
8413,3) 사출 & 금형 충전,5,60,0.048,"{""low_section_speed"": 110.0, ""high_section_speed"": 111.7, ""cast_pressure"": 330.0, ""biscuit_thickness"": 47.4, ""physical_strength"": 698.9}","low_section_speed, high_section_speed, cast_pressure, biscuit_thickness, physical_strength"
8413,4) 응고,5,60,0.048,"{""upper_mold_temp1"": 236.1, ""upper_mold_temp2"": 196.8, ""lower_mold_temp1"": 267.6, ""lower_mold_temp2"": 250.2, ""Coolant_temperature"": 29.7}","upper_mold_temp1, upper_mold_temp2, lower_mold_temp1, lower_mold_temp2, Coolant_temperature"
8576,1) 용탕 준비 및 가열,2,56,0.06,"{""molten_temp"": 731.1, ""molten_volume"": -1.0}","molten_temp, molten_volume"
8576,3) 사출 & 금형 충전,5,56,0.06,"{""low_section_speed"": 109.9, ""high_section_speed"": 111.5, ""cast_pressure"": 331.7, ""biscuit_thickness"": 50.0, ""physical_strength"": 704.0}","low_section_speed, high_section_speed, cast_pressure, biscuit_thickness, physical_strength"
8576,4.응고,5,56,0.06,"{""upper_mold_temp1"": 218.7, ""upper_mold_temp2"": 140.6, ""lower_mold_temp1"": 233.1, ""lower_mold_temp2"": 235.6, ""Coolant_temperature"": 30.7}","upper_mold_temp1, upper_mold_temp2, lower_mold_temp1, lower_mold_temp2, Coolant_temperature"
8722,1) 용탕 준비 및 가열,2,18336,0.132,"{""molten_temp"": 721.9, ""molten_volume"": 63.5}","molten_temp, molten_volume"
8722,3) 사출 & 금형 충전,5,18336,0.132,"{""low_section_speed"": 106.4, ""high_section_speed"": 109.1, ""cast_pressure"": 328.3, ""biscuit_thickness"": 47.0, ""physical_strength"": 693.5}","low_section_speed, high_section_speed, cast_pressure, biscuit_thickness, physical_strength"
8722,4) 응고,5,18336,0.132,"{""upper_mold_temp1"": 183.8, ""upper_mold_temp2"": 150.9, ""lower_mold_temp1"": 229.3, ""lower_mold_temp2"": 219.9, ""Coolant_temperature"": 34.0}","upper_mold_temp1, upper_mold_temp2, lower_mold_temp1, lower_mold_temp2, Coolant_temperature"
8917,1) 용탕 준비 및 가열,2,21575,0.048,"{""molten_temp"": 718.5, ""molten_volume"": 33.2}","molten_temp, molten_volume"
8917,3) 사출 & 금형 충전,5,21575,0.048,"{""low_section_speed"": 109.3, ""high_section_speed"": 111.5, ""cast_pressure"": 329.8, ""biscuit_thickness"": 50.8, ""physical_strength"": 703.3}","low_section_speed, high_section_speed, cast_pressure, biscuit_thickness, physical_strength"
8917,4) 응고,5,21575,0.048,"{""upper_mold_temp1"": 158.9, ""upper_mold_temp2"": 174.3, ""lower_mold_temp1"": 232.6, ""lower_mold_temp2"": 177.3, ""Coolant_temperature"": 31.5}","upper_mold_temp1, upper_mold_temp2, lower_mold_temp1, lower_mold_temp2, Coolant_temperature"
